staging_id,company,season,episode_number,pitch_number,season_start,season_end,original_air_date,episode_title,anchor,sector,business_description,company_website,started_in,founder_count,male_presenters,female_presenters,transgender_presenters,couple_presenters,pitchers_average_age,pitchers_city,pitchers_state,yearly_revenue,monthly_sales,gross_margin,net_margin,ebitda,cash_burn,skus,has_patents,bootstrapped,part_of_match_off,asked_amount,equity_asked,valuation_requested,received_offer,accepted_offer,invested_amount,equity_final,total_deal_debt,deal_valuation,number_of_sharks_in_deal,deal_has_conditions,royalty_percentage,royalty_recouped_amount,advisory_shares_equity,namita_present,vineeta_present,anupam_present,aman_present,peyush_present,ritesh_present,amit_present,guest_present
219,HoneyVeda,Season 2,22,219,2023-01-02,2023-03-10,2023-01-31,Making Big Businesses,Rahul Dua,Food and Beverage,Honey in natural nutritious form,https://www.honeyveda.in/,,2,2.0,,,0,,Ahmedabad,Gujarat,53.0,,20.0,,,,,0,0,0,75.0,7.5,1000.0,1,1,50.0,20.0,25.0,250.0,2.0,0,,,,1,1,1,1,1,0,0,0
220,PadCare,Season 2,23,220,2023-01-02,2023-03-10,2023-02-01,Changing The World,Rahul Dua,Manufacturing,Menstrual hygiene disposal solution,https://www.padcarelabs.com/,,1,1.0,,,0,,Pune,Maharashtra,,14.0,,,,,,0,0,0,50.0,2.0,2500.0,1,1,100.0,4.0,,2500.0,4.0,0,,,,1,1,1,1,1,0,0,0
221,SwadeshiBlessings,Season 2,23,221,2023-01-02,2023-03-10,2023-02-01,Changing The World,Rahul Dua,Lifestyle/Home,Clay utensils and cookwares,https://www.swadeshiblessings.in/,2020,3,1.0,2.0,,0,,Udaipur,Rajasthan,120.0,28.0,60.0,,,,,0,0,0,50.0,5.0,1000.0,1,1,25.0,5.0,25.0,500.0,2.0,0,,,,1,1,1,1,1,0,0,0
222,OLL,Season 2,23,222,2023-01-02,2023-03-10,2023-02-01,Changing The World,Rahul Dua,Technology/Software,Online Live Learning Skill development classes,https://www.oll.co/,,1,1.0,,,0,,Mumbai,Maharashtra,,,,,,,,0,0,0,30.0,2.0,1500.0,1,1,30.0,5.0,,600.0,2.0,0,,,,1,1,1,1,1,0,0,0
223,Febris,Season 2,23,223,2023-01-02,2023-03-10,2023-02-01,Changing The World,Rahul Dua,Medical/Health,"Scrubs, Lab Coats & Medical Apparel",https://www.febris.in/,,2,2.0,,,0,,Ferozepur,Punjab,110.0,12.0,,20.0,,,,0,0,0,100.0,2.5,4000.0,0,,,,,,,0,,,,1,1,1,1,1,0,0,0
224,Geeani,Season 2,24,224,2023-01-02,2023-03-10,2023-02-02,India Ke Incredible Entrepreneurs,Rahul Dua,Vehicles/Electrical Vehicles,Smallest EV tractor,,,3,2.0,1.0,,0,,Ahmedabad,Gujarat,,,,,,,,0,0,0,75.0,7.5,1000.0,1,1,100.0,10.0,,1000.0,3.0,0,,,,1,1,1,1,0,0,1,0
225,Amore,Season 2,24,225,2023-01-02,2023-03-10,2023-02-02,India Ke Incredible Entrepreneurs,Rahul Dua,Food and Beverage,Gelato Ice Cream Online,https://www.amoregelato.com/,,2,2.0,,,0,,"Hyderabad,Mumbai","Telangana,Maharashtra",,,,,,,,0,0,0,75.0,4.0,1875.0,1,1,75.0,7.5,,1000.0,1.0,1,,,,1,1,1,1,0,0,1,0
226,LeafyAffair,Season 2,24,226,2023-01-02,2023-03-10,2023-02-02,India Ke Incredible Entrepreneurs,Rahul Dua,Beauty/Fashion,Botanical Jewellery,https://leafyaffair.com/,,1,1.0,,,0,,Bangalore,Karnataka,110.0,21.0,80.0,,,,,0,0,0,50.0,2.5,2000.0,0,,,,,,,0,,,,1,1,1,1,0,0,1,0
227,ScrapUncle,Season 2,25,227,2023-01-02,2023-03-10,2023-02-03,Badhta India,Rahul Dua,Green/CleanTech,Sell scrap recyclables online,https://scrapuncle.com/,2020,1,1.0,,,0,,Delhi,Delhi,600.0,,25.0,,,,,0,0,0,60.0,3.0,2000.0,1,1,60.0,5.0,,1200.0,1.0,0,,,,1,1,1,1,0,0,1,0
228,SharmaJiKiAata,Season 2,25,228,2023-01-02,2023-03-10,2023-02-03,Badhta India,Rahul Dua,Food and Beverage,Freshly milled atta,https://sharmajikaaata.com/,2019,2,1.0,1.0,,0,,Pune,Maharashtra,,,63.0,38.0,,,,0,0,0,40.0,10.0,400.0,1,1,40.0,20.0,,200.0,1.0,0,,,,1,1,1,1,0,0,1,0
229,Manetain,Season 2,25,229,2023-01-02,2023-03-10,2023-02-03,Badhta India,Rahul Dua,Beauty/Fashion,Curly Hair Care Products,https://manetain.in/,,2,,2.0,,0,,"Kochi,Mumbai","Kerala,Maharashtra",100.0,12.0,60.0,,,,,0,0,0,75.0,2.5,3000.0,1,1,75.0,10.0,,750.0,1.0,0,,,,1,1,1,1,0,0,1,0
230,GavinParis,Season 2,26,230,2023-01-02,2023-03-10,2023-02-06,Bharat Badal Raha Hai,Rahul Dua,Beauty/Fashion,Gender-Neutral Fashion,https://www.gavinparis.com/,2022,2,2.0,,,0,,Kolkata,West Bengal,114.0,,60.0,,,,,0,0,0,50.0,5.0,1000.0,1,0,,,,,,0,,,,1,1,1,1,0,0,1,0
231,UnStop,Season 2,26,231,2023-01-02,2023-03-10,2023-02-06,Bharat Badal Raha Hai,Rahul Dua,Technology/Software,Connecting talent colleges recruiters,https://unstop.com/,2022,1,1.0,,,0,,Delhi,Delhi,1600.0,,90.0,,,,,0,0,0,100.0,1.0,10000.0,1,1,200.0,4.0,,5000.0,4.0,0,,,,1,1,1,1,0,0,1,0
232,BlueTea,Season 2,26,232,2023-01-02,2023-03-10,2023-02-06,Bharat Badal Raha Hai,Rahul Dua,Food and Beverage,Ayurvedic Herbal Tea,https://bluetea.co.in/,2018,2,2.0,,,0,,"Faridabad,Kolkata","Haryana,West Bengal",1000.0,,,19.0,,,,0,0,0,75.0,1.0,7500.0,1,1,50.0,3.0,25.0,1666.666667,1.0,0,,,,1,1,1,1,0,0,1,0
233,TheGreenSnack,Season 2,27,233,2023-01-02,2023-03-10,2023-02-07,Nayi Soch Naye Vichaar,Rahul Dua,Food and Beverage,Healthy Snacks Online,https://thegreensnackco.com/,2017,2,1.0,1.0,,1,,Mumbai,Maharashtra,,25.0,,,,,,0,0,0,100.0,2.0,5000.0,1,1,100.0,8.0,,1250.0,1.0,0,,,,1,1,1,1,0,0,1,0
234,HobbyIndia,Season 2,27,234,2023-01-02,2023-03-10,2023-02-07,Nayi Soch Naye Vichaar,Rahul Dua,Lifestyle/Home,Online Art & Craft Store,https://hobbyindia.store/,,3,1.0,2.0,,1,,Surat,Gujarat,117.0,,,,,,,0,0,0,50.0,3.0,1666.666667,1,0,,,,,,0,,,,1,1,1,1,0,0,1,0
235,Flhexible,Season 2,27,235,2023-01-02,2023-03-10,2023-02-07,Nayi Soch Naye Vichaar,Rahul Dua,Lifestyle/Home,Composite paper honeycomb panels,https://www.flhexible.com/,2019,2,1.0,1.0,,1,,Jaipur,Rajasthan,16.0,3.5,40.0,25.0,,,,0,0,0,50.0,7.5,666.6666667,0,,,,,,,0,,,,1,1,1,1,0,0,1,0
236,UpThrust,Season 2,27,236,2023-01-02,2023-03-10,2023-02-07,Nayi Soch Naye Vichaar,Rahul Dua,Fitness/Sports/Outdoors,ESPORTS AND GAMING ORGANISATION,https://www.upthrustesports.com/,,2,2.0,,,0,,Mumbai,Maharashtra,300.0,33.0,,30.0,,,,0,0,0,75.0,3.0,2500.0,0,,,,,,,0,,,,1,1,1,1,0,0,1,0
237,Zoff,Season 2,28,237,2023-01-02,2023-03-10,2023-02-08,Game Changers,Rahul Dua,Food and Beverage,Cool Grind Technology Indian Spices,https://zofffoods.com/,2018,2,2.0,,,0,,Raipur,Chhattisgarh,,700.0,,,,,,0,0,0,100.0,0.5,20000.0,1,1,100.0,1.25,,8000.0,1.0,0,,,,1,1,1,1,0,0,1,0
238,DesiToys,Season 2,28,238,2023-01-02,2023-03-10,2023-02-08,Game Changers,Rahul Dua,Manufacturing,Indian Traditional Toys and Indoor Games,https://www.desitoys.in/,2017,1,,1.0,,0,,Mumbai,Maharashtra,115.0,20.0,50.0,18.0,,,,0,0,0,50.0,3.0,1666.666667,1,0,,,,,,0,,,,1,1,1,1,0,0,1,0
239,CloudWorx,Season 2,28,239,2023-01-02,2023-03-10,2023-02-08,Game Changers,Rahul Dua,Technology/Software,NoCode Enterprise Metaverse App Builder,http://www.cloudworx.ai/,,1,1.0,,,0,,Bangalore,Karnataka,,14.0,,,,,,0,0,0,40.0,2.0,2000.0,1,1,40.0,3.2,,1250.0,2.0,1,,,,1,1,1,1,0,0,1,0
240,Mahantam,Season 2,29,240,2023-01-02,2023-03-10,2023-02-09,Pulse Of The Country,Rahul Dua,Manufacturing,Tea Glass Washing Machine,https://mahantam.co.in/,,2,2.0,,,0,,Banaskantha,Gujarat,,,,,,,,0,0,0,30.0,10.0,300.0,1,1,30.0,20.0,,150.0,5.0,0,,,,1,1,1,1,1,0,0,0
