deal_id,staging_id,investor,invested_amount,invested_equity,invested_debt
380,349,Deepinder Goyal,200,15,
381,350,Namita,50,0.665,
382,350,Vineeta,50,0.665,
383,351,Aman,20,1,80
384,352,Vineeta,20,2.5,
385,352,Anupam,20,2.5,
386,352,Aman,20,2.5,
387,352,Ritesh,20,2.5,
388,353,Namita,10,0.6,
389,353,Aman,10,0.6,
390,353,Ritesh,10,0.6,
391,355,Anupam,25,1,
392,355,Peyush,25,1,
393,355,Ritesh,25,1,
394,356,Vineeta,35,0.5,
395,356,Aman,35,0.5,
396,358,Vineeta,40,1.2,
397,358,Aman,40,1.2,
398,358,Peyush,40,1.2,
399,358,Ritesh,40,1.2,
400,358,Radhika Gupta,40,1.2,
401,359,Ritesh,36,6,
402,361,Anupam,25,1.15,
403,361,Aman,25,1.15,
404,363,Anupam,100,2.25,
405,364,Vineeta,30,3.75,
406,364,Anupam,30,3.75,
407,366,Namita,60,0.3,
408,366,Vineeta,60,0.3,
409,366,Anupam,60,0.3,
410,366,Aman,60,0.3,
411,366,Ritesh,60,0.3,
412,368,Peyush,37.5,1.5,
413,368,Ronnie Screwvala,37.5,1.5,
414,369,Peyush,30,3,
415,369,Ronnie Screwvala,30,3,
416,370,Aman,10,10,40
417,373,Aman,25,1,
418,376,Vineeta,37.5,0.5,
419,376,Aman,37.5,0.5,
420,376,Peyush,37.5,0.5,
421,376,Ritesh,37.5,0.5,
422,378,Ritesh,35,2.33,25
423,379,Vineeta,40,2,
424,379,Peyush,40,2,
425,380,Vineeta,100,1,
426,382,Namita,10,4,
427,382,Peyush,10,4,
428,382,Amit,10,4,
429,382,Azhar Iqubal,10,4,
430,385,Namita,40,1,
431,385,Vineeta,40,1,
432,386,Vineeta,66.66,0.33,
433,386,Anupam,66.66,0.33,
434,386,Amit,66.66,0.33,
435,388,Vineeta,50,5,
436,391,Namita,30,2,
437,391,Aman,30,2,
438,394,Anupam,20,1,25
439,395,"Varun Dua,Radhika Gupta",60,2,
440,396,Varun Dua,60,1.5,
441,397,Anupam,25,1.25,
442,397,Peyush,25,1.25,
443,397,Amit,25,1.25,
444,397,Azhar Iqubal,25,1.25,
445,398,Namita,100,1,
446,400,Peyush,25,25,
447,402,Namita,20,1,
448,402,Vineeta,20,1,
449,402,Anupam,20,1,
450,404,Vineeta,30,2.5,
451,404,Amit,30,2.5,
452,405,Aman,50,4,
453,406,Namita,30,1,
454,406,Anupam,30,1,
455,406,Aman,30,1,
456,406,Ritesh,30,1,
457,407,Namita,75,5,
458,409,Anupam,17.5,0.25,17.5
459,409,Aman,17.5,0.25,17.5
460,411,Peyush,75,15,
461,412,Anupam,17.5,3,
462,412,Aman,17.5,3,
463,413,Anupam,8.33,3.33,
464,413,Ritesh,8.33,3.33,
465,413,Amit,8.33,3.33,
466,415,Aman,30,3,
467,417,Ritesh,3.5,5,
468,417,Amit,3.5,5,
469,419,Namita,25,2,
470,422,Aman,10,5,40
471,424,Namita,15,0.5,
472,424,Vineeta,15,0.5,
473,424,Anupam,15,0.5,
474,424,Aman,15,0.5,
475,424,Amit,15,0.5,
476,425,Amit,60,2.5,
477,426,Amit,10,5,40
478,428,Aman,25,2,41.66
479,428,Ritesh,25,2,41.66
480,428,Radhika Gupta,25,2,41.66
481,429,Aman,100,10,
482,430,Namita,33.33,0.5,
483,430,Aman,33.33,0.5,
484,430,Ritesh,33.33,0.5,
485,434,Amit,40,2,40
486,435,Namita,50,1.32,50
487,436,Vineeta,0.0025,0.2,
488,436,Anupam,0.0025,0.2,
489,436,Aman,0.0025,0.2,
490,436,Peyush,0.0025,0.2,
491,436,Ritesh,0.0025,0.2,
492,437,Aman,30,0.5,25
493,437,Ritesh,30,0.5,25
494,438,Vineeta,20,1,30
495,441,Anupam,50,5,50
496,442,Ritesh,75,5,75
497,443,Namita,20,4,20
498,443,Vineeta,20,4,20
499,445,Aman,20,1,20
500,445,Amit,20,1,20
501,446,Namita,25,1.25,10
502,446,Aman,25,1.25,10
503,448,Aman,20,0.67,80
504,449,Ritesh,40,3,35
505,450,Ritesh,80,1,
506,452,Namita,36,2,
507,452,Ritesh,36,2,
508,454,Vineeta,50,5,
509,454,Peyush,50,5,
510,455,Namita,75,15,
511,456,Anupam,25,5,25
512,456,Peyush,25,5,25
513,457,Vineeta,25,2,
514,457,Ritesh,25,2,
515,459,Ritesh,30,2.5,30
516,463,Anupam,33.33,1.33,
517,463,Aman,33.33,1.33,
518,463,Ritesh,33.33,1.33,
519,464,Ritesh,50,10,
520,469,Namita,25,1,12.5
521,469,Aman,25,1,12.5
522,470,Namita,20,0.64,
523,470,Vineeta,20,0.64,
524,470,Anupam,20,0.64,
525,470,Aman,20,0.64,
526,470,Amit,20,0.64,
527,473,Namita,25,1,
528,473,Vineeta,25,1,
529,473,Anupam,25,1,
530,473,Azhar Iqubal,25,1,
531,476,Aman,12.5,4,
532,476,Radhika Gupta,12.5,4,
533,477,Namita,40,0.8,
534,477,Anupam,40,0.8,
535,477,Aman,40,0.8,
536,477,"Azhar Iqubal,Radhika Gupta",80,1.6,
537,479,Namita,50,0.75,
538,479,Aman,50,0.75,
539,480,Namita,100,2,
540,482,Ritesh,50,2.5,
541,482,Kunal Bahl,50,2.5,
542,483,Ritesh,150,1.5,
543,483,Kunal Bahl,150,1.5,
544,485,Peyush,500,51,
